,sum_sq,df,F,PR(>F)
fix_dur,22.80724651862838,1.0,15.435040353995008,0.0034646374516964147
velocity,27.884899965894956,1.0,18.87139492657122,0.0018661977354561784
fix_dur:velocity,1.8288749552162598,1.0,1.2377100722402967,0.29474470274308395
Residual,13.298651248069278,9.0,,
